,step,current,voltage,eon,eoff
0,0.0,1.0,5.0,1.3252644356162553e-08,3.299129808159025e-09
1,1.0,3.0,5.0,4.6565458968265233e-08,2.404434104598102e-08
2,2.0,5.0,5.0,1.1387068397231894e-07,6.454895770453943e-08
3,3.0,7.0,5.0,2.0236778732410895e-07,1.1806749348169862e-07
4,4.0,9.0,5.0,3.1106382452748064e-07,1.7759994146524783e-07
5,5.0,10.0,5.0,3.653507003663082e-07,2.087728497129593e-07
6,6.0,1.0,15.0,3.0415729152816035e-08,1.2181427093004028e-08
7,7.0,3.0,15.0,1.0504326041139959e-07,5.7054745263374564e-08
8,8.0,5.0,15.0,2.515765268318729e-07,1.574027482314801e-07
9,9.0,7.0,15.0,4.618511386903998e-07,2.964509417626161e-07
10,10.0,9.0,15.0,7.406318748190477e-07,4.6367210922784704e-07
11,11.0,10.0,15.0,8.992933170210784e-07,5.509779550929986e-07
12,12.0,1.0,25.0,5.504268516479784e-08,2.91186832125043e-08
13,13.0,3.0,25.0,1.7753544814857794e-07,8.890076828507655e-08
14,14.0,5.0,25.0,4.097345231389856e-07,2.494817850684476e-07
15,15.0,7.0,25.0,7.532154412235116e-07,4.721736316856309e-07
16,16.0,9.0,25.0,1.2136735999926379e-06,7.453842399126559e-07
17,17.0,10.0,25.0,1.4798807862152264e-06,8.945924688176594e-07
18,18.0,1.0,35.0,8.380905593021679e-08,4.893052898485104e-08
19,19.0,3.0,35.0,2.592450898564871e-07,1.2150486836481712e-07
20,20.0,5.0,35.0,5.838215996399613e-07,3.3608284662233684e-07
21,21.0,7.0,35.0,1.0638141369705322e-06,6.44898809509749e-07
22,22.0,9.0,35.0,1.709189714844834e-06,1.0232885097560749e-06
23,23.0,10.0,35.0,2.091881735164469e-06,1.233101641267924e-06
24,24.0,1.0,40.0,9.997470666383943e-08,6.141238340454616e-08
25,25.0,3.0,40.0,3.0308765962923947e-07,1.3500892731675323e-07
26,26.0,5.0,40.0,6.752886972222257e-07,3.815276517468932e-07
27,27.0,7.0,40.0,1.2233652205737016e-06,7.286206519276306e-07
28,28.0,9.0,40.0,1.965394979084287e-06,1.1593900541352834e-06
29,29.0,10.0,40.0,2.4028251160364205e-06,1.392497805163685e-06
